Tip,Paylaþým,,,,
Pozitif,Yaptýðým en baþarýlý aktivite uyumak.,,,,
Negatif,"Kim demiþ iyilerle kötüler belli deðil diye;it itle gezer, yiðit yiðitle.",,,,
Negatif,"Hiç bir faydasý olmayan, zararý olan, saray soytarýsý Nagehan fikrini beyan ediyor:",,,,
Negatif,Ulan yanan alevi yakan alevi bugün temel ile ayný çanaktan yal yiyorsun o ne olacak,,,,
Negatif,"Defol git lan, ölüye saygýn yok anladýk bari Allah'tan korkun olsun ama o da yok belli!",,,,
Pozitif,"2018'den bu yana formamýzý terleten, sadece baþarýlarýyla deðil örnek sporcu kiþiliði ile de büyük beðeni kazanan Yuto Nagatomo'ya kulübümüze verdiði emekler için teþekkür eder, bundan sonraki kariyerinde baþarýlar dileriz. ",,,,
Negatif,Kanka ben netflix sayesinde ingilizce ogreniyorum. Netflix yerine bize amcamizla sikismeyi ogreten turk dizileri yasaklansin,,,,
Negatif,Öldürür bu,,,,
Pozitif,O zaman para vermeyeceksin kardeþim. He demek para verdin izlemek istiyosun o zaman þikayet etmeyeceksin. Eþcinsellik insanlarýn tercihi buna kimse karýþamaz saygý duymak zorundasýn. Cinsellik içeren film ya da dizilerde zaten +18 uyarýlarý bulunuyor.,,,,
Negatif,Gay düsmani mustafa,,,,
Pozitif,"Neden? Ýzlemek istemeyen abone olmaz. Açýk sahneyse elinde kumanda sardýrabiliyorsun. Eþcinsellikse, o tarz izleme, birsürü film dizi var. Üye olma, olur biter. Üye olanada kimse karýþamaz, neticede özel bir platform. O kadar güzel dizi projeleri insanlar niye izleyemesin",,,,
Negatif,izleme o zaman dalyrak,,,,
Negatif,"Türk televizyon dizileri: Tecavüz, kadýna þiddet, silahlý çatýþma, evlilik dýþý iliþki, ensest...Dön de bi kendi kýçýna bak, insanlarýn para verip izlediði þeylere bok atmadan önce.",,,,
Negatif,Ýzleme be amýna kodumun koyunu seni,,,,
Negatif,Fiyatý mý fazla geldi gerizekalý,,,,
Negatif,ezik orospu evladi izleyen ister ucretli bir uygulama,,,,
Negatif,Ýzleme ozaman yarram bi karý görsen düz yokuþa týrmanýrsýn burda cinsellikden bahsediyon sie,,,,
Negatif,Zehirin aktýðý yer sizin beyniniz ve aðzýnýz ama farkýnda deðilsiniz. O kadar cahilsiniz ki cehaletinizin farkýna bile varamýyorsunuz. Çok ilkel insanlarsýnýz çooook.,,,,
Negatif,"Hayatýnda hiç para vermeden seks yapmamýþ, çevresi eðitimsiz, cahil ve tipsiz insanlarla dolu, cinselliði kedi köðeðin yaptýðý seksten hallice olan çomarlar gelmiþ ""cinsellik"" zehirdir diyor. :))) Yapamadýðýnýzý bu kadar belli etmeyin bari ezikler. :)) Yazýk yav bunlara",,,,
Negatif,Aq ayýk gezmezler her bulduðunu skerler abazalýktan CD eþcinsellerle olurlar sonra Netflix yasaklanabilirmiþ sktrn gidin yavþklaaaaarrr,,,,
Negatif,sus lan yavþak   izleme götüm zaten siz fakirlerin netfilixi mi olucak  amk 18 yüzyýldan kalma kafayla yaþýyorsunuz,,,,
Negatif,satýn almayýn amk,,,,
Pozitif,Bir dur da dinle ademoðlu nasýl geldin nasýl gidiyorsun ?,,,,
Pozitif,"Hepsinin ötesinde, bu baskýcý dönemde alýnan tüm kararlarýn baskýcý iktidara hizmet edeceðini düþünüyorum. Bu yasa özgür bir ortamda getirilmeli.",,,,
Negatif,Motorsikletin yanýndan geçen motorcu oluyor amk. 2 gün sonra kaza yapýyor arabalara suç atýyor. Instagramda bir tane düzgün motor kullanan video yok.,,,,
Pozitif,Benim bir korkum yok konuyu çarpýtmayada gerek de yok kim olursa olsun çocuða kadýna uzanan diller eller toplumdan temizlensin,,,,
Pozitif,"Baþkalarýna yapýlan hukuk dýþý, ahlak dýþý olaylara sessiz kalýp görmezden geldiniz, size yapýlýnca ortalýðý ayaða kaldýrdýnýz.",,,,
Pozitif,Doðduðum günden tam 22 yýl sonra yine ayný tarihte mezun oldum bundan sonra kutsal sayým 30dur,,,,
Pozitif,"Çok komiksin ya, burun deliklerini kapat gülerken, corona var",,,,
Pozitif,Bazý kahramanlar pelerin takmaz,,,,
Pozitif,"Kýbrýs Þehitleri ile Dominik Caddesi'ni yayalar için birleþtirdik. Yaya geçidi üzerine Ýzmir’in tarihi köklerinden gelen figüratif desenler iþlendi. Pasaport’un dalgalý kaldýrýmý, Bergama kilim ve halýlarýnýn “Eli belinde” motifleri Talatpaþa meydanýna çok yakýþtý.",,,,
Pozitif,"Tugay Turan hocamýz çok güzel þekilde, emek vererek akademide yardýmcý araçlarý biraraya getirdiði bir bilgisel hazýrlamýþ . Teþekkür ederim, ellerine, zihnine saðlýk Tugay hocam",,,,
Pozitif,Sýnavda elde edeceðiniz puan dilimine göre diploma notunuzun yaklaþýk kaç olmasý gerekir ki yerleþtirme sýrasýnda geriye düþme riskini ortadan kaldýrasýnýz?,,,,
Pozitif,"Kiþisel Verileri Koruma Kurulu, sosyal medya uygulamasý TikTok hakkýnda, veri güvenliði açýðý iddialarý üzerine inceleme baþlattý.",,,,
Pozitif,"Umblikal kord ( göbek baðý ) iki atardamar ve bir toplardamardan oluþuyor , Rahim içinde bebeðin tüm ihtiyaçlarý bu kordonla saðlanýyor",,,,
Pozitif,Kütüphanemizdeki kitaplarýn tam ekran fotoðrafýný yorum olarak atan 25 kiþiye çekiliþle görseldeki seti hediye ediyoruz.,,,,
Pozitif,Ülkenin her tarafýnda topraklar iþleniyor. Sonbahara fidan dikimine hazýrlýk yapýlýyor. Erozyon nedeniyle tek bir gram topraðýmýz kaybolmasýn diye orman teþkilatý çalýþýyor. 10 yýl sonra daða yazýlan OGM yazýsýný görürseniz “aðaçlarý kesip OGM yazmýþlar.” demeyin sakýn,,,,
Pozitif,"Sýzýntýyla ortaya çýkan görsellerin grafik detaylarý çok kötüydü. Oyunculardan gelen tepkileri dinleyen firma, oyun üzerine daha fazla çalýþacaklarýný ve çok daha iyi görsellikle döneceklerinin de altýný çizdi.",,,,
Pozitif,Bu sýcak yaz günlerinde tüm vatandaþlarýmýzý sokak hayvanlarý için kapýlarýnýn önlerine bir kap su koymaya davet ediyoruz.,,,,
Pozitif,"Þartlar uygun, ben deðilim.",,,,
Pozitif,Tam pencere önünde ve televizyon karþýsýnda yarým saat uyuyakalmalýk hava var þu an,,,,
Pozitif,"Þuan aklýmýza gelen ilk þarkýyý yazalým, bakalým neler çýkacak",,,,
Negatif,Siksokçular anlýk,,,,
Pozitif,"hayatýmda gördüðüm en güzel haberlerdne birisi... en azýndan artýk instagramda cemre solmaz,azra gül,yaren,enes batur’u vs.  Görmeyeceðim",,,,
Pozitif,Hepsini kapatýn bütün toplumun ahlakýný bozdular,,,,
Negatif,AKP'li oyuncunun ikiyüzlülüðü,,,,
Pozitif,Teþekkürler! Geri bildirim de bekliyoruz o halde. Bu taahhütü takip edeceðim. Ara ara da size hatýrlatacaðým,,,,
Pozitif,"Hastaneye yetiþemeyen kadýnýn, otoparkta ebe yardýmýyla doðum yaptýðý anlar",,,,
Pozitif,"Birisi tarafýndan delice sevilmek size güç verir, birisini delice sevmek ise cesaret",,,,
Negatif,"Koyun dedikleri tarafýndan 18 senedir yönetilen ,koyun kadar aklý olmayan bir kesim var bu ülkede.",,,,
Pozitif,büyük cesaret helal olsun,,,,
Pozitif,patlamanýn yaþandýðý bölgeye yakýn yerleþim yerlerindeki insanlarýn evlerine girip kapý ve pencerelerini kapa…,,,,
Pozitif,Hayatta kalabilmek için para uðruna insanlar nerelerde canlarýný hic sayarak çalýþýyor.. Allah yardýmcýlarý olsun..,,,,
Pozitif,Allahým sen yaralýlara ve ailelerine yardým et,,,,
Pozitif,Geçmiþ olsun umarým kimsenin caný yanmamiþtir. ,,,,
Pozitif,Havai Fiþek fabrikasý patlamýþ. Rabbim içerideki tüm çalýþanlarýn canýný korusun inþallah,,,,
Pozitif,Patlama sesi korkunçtu. Tüm Sakarya sesi duydu ve sarsýntýyý hissetti. Atom bombasý gibi bir etki yarattý.,,,,
Pozitif,Can kaybý olmamasý tek temennim,,,,
Pozitif,Sakarya'nýn Hendek ilçesinde ki havai fiþek fabrikasýnýn patlamasýnda can kaybýnýn olmamasýný temenni ediyorum.,,,,
Pozitif,Sakarya'da havai fiþek fabrikasýnda patlama: Ýçeride 150-200 kiþi var!,,,,
Pozitif,Umuyoruz ki tek bir canýmýzýn dahi burnu kanamaz.,,,,
Negatif,sorumlu herkesin caný cehnneme,,,,
Negatif,Sen olarak dünyaya gelmediðimiz için þükrettik bugün,,,,
Negatif,Bu sey degil mi ya herkese ahlak bekciligi yapip ahlak bekciligi yaptigi insanlardan 10 kat daha ahlaksiz hareketler yapan kiþi,,,,
Negatif, neyse gidip de yuvasýný yýktýðým adamla öpüþeyim,,,,
Negatif, Bu sey degil mi ya herkese ahlak bekciligi yapip ahlak bekciligi yaptigi insanlardan 10 kat daha ahlaksiz hareketler yapan insan,,,,
Negatif,"herkes Ece Erken'e laf söylüyor ahlak bekçiliði yapan ahlaksýz diye de sizin yaptýðýnýz ne þu an siktir etsenize, böyle insanlarý",,,,
Negatif,"Adam boþanýr boþanmaz, tekne turlarýnda fink atan yalandan ayrýlmýþ numarasý yapan utanmazlar",,,,
Negatif,tek kelime ile Rezilsin,,,,
Negatif,Ekrandan herkese ahlak bekçiliði yapan ahlaksýz,,,,
Pozitif,kim kime isterse gitsin ne istiyorsa yapsýn konuþmaya deðecek baþka bir þeyiniz yok mu ya,,,,
Negatif,Ece Erken ve Sevgilisi Su altýnda saman yürütmüþ bea,,,,
Pozitif,bu yorumlarý yazanlara merak ettiðim için soruyorum. Ahlaksýz olan bir tek o mu baþkasýnýn suçu yok mu,,,,
Negatif,bu kadýn aðlayarak malý götürenlere en güzel örnek ,,,,
Negatif,"annen,baban seni büyütüyor yedirip içiriyor, o kadar emekten sonra sen ahlaksýz oluyorsun.tivit bu kadar!",,,,
Pozitif,NE KADAR ÇOK ÇALIÞIRSAK O kadar iyi,,,,
Negatif, Ahlak bekçileri size ne?,,,,
Pozitif,"Ýstediði gibi yaþar hayatýný, olumlu olumsuz tüm sonuçlarý kendisi yaþayacak",,,,
Negatif,"insan nasýl bu kadar çirkinleþebilirin örneði,buyrun",,,,
Negatif,Ee boþuna dememiþler kim ahlak bekçiliði yapýyorsa en ahlaksýz odur,,,,
Negatif, adamda tip desen yok. Fizik desen yok. Bu adamýn neyini sevdin,,,,
Negatif,Türkiye’nin gelmiþ geçmiþ ennn büyük eskortusun ya,,,,
Negatif,Utanmazlar,,,,
Negatif,Milletin dedikodusunu yaparken paranýn dibine vurmasýný biliyordunuz Milletin ahlak bekçiliðini yapmasýný biliyosunuz,,,,
Negatif,insan nasýl bu kadar çirkinleþebilir,,,,
Negatif,"Ece Erken’e önyargýlý davranýp onu hiç sevmiyorsunuz, oysa ki tanýsanýz nefret edersiniz..",,,,
Negatif,Kim namustan söz ediyorsa en namussuzu o dur,,,,
Negatif,yuva yýkýp bir aileyi daðýtan kadýn,,,,
Negatif,"cahil, alt kültür adam",,,,
Negatif,Ünlü kadýnlar yuva yýkar hayretbiþey arkadaþ normal bir ünlü,,,,
Negatif,aq ya Midesizsiniz ,,,,
Pozitif,Vazgeçtim inan kendimden çoktannn ,,,,
Pozitif,"Gömülen gömülene, unutulan unutulana, kayýplara karýþan karýþana",,,,
Pozitif,"Yaþ kaç olursa olsun,her sözün,sesin,kalemin yüreðime dokunur",,,,
Pozitif,Zamanýnda severek dinledim,,,,
Pozitif,"9,""Sago benim dilsiz kalbime dil, dikenli yollarýmdaki çicek,anlatmaya çalýþmadýklarýma kelimelersin  #SagopaKajmer"",Brnbzkrtt,Bernik",,,,
Pozitif,Uçur beni rüzgâr toz taneleri gibi burdan uzaða doðru,,,,
Pozitif,Benim gözlerimden bak dünyaya.,,,,
Pozitif,Bugünüm yarýným bi yaným karambolde,,,,
Pozitif,Beni mutlu edecek þey,,,,
Pozitif,Mektupu al derdimi gör,,,,
Pozitif,"Halini sor,er ya da geç yollar bir",,,,
Pozitif,Ah zaman ahir,,,,
Pozitif,Þuraya girince kendimi tutamayýp tüm tweetleri beðeniyorum.,,,,
Pozitif,Oysa kim istemez ki her gün ilkbahar günü,,,,
Pozitif,Þiirler yazmak izleyip kýrmýzý gülü?,,,,
Pozitif,Ama galibaaaaa bütün bu olanlara dayanamam ama hazýrýmm,,,,
Pozitif,"Sen giderken adýmlarýný sayarým, heyhat",,,,
Pozitif,Uzuyor uzadýkça bitmiyor bitse sevimsiz akþamlar...,,,,
Pozitif,"Huzur, özür dilemeli bana uðramadýðý her gün için.",,,,
Pozitif,Uçur beni rüzgar,,,,
Negatif,Sana Küfür Ederim,,,,
Pozitif,Bizi bu saatten sonra mutlu edecek tek þey konseridir,,,,
Pozitif,Kah çýkarým gök yüzüne içerim saki yi kah inerim yer yüzüne çekerim zikrimi ,,,,
Pozitif,"Ýfadeler, sözlerden daha seslidir ve Sago sessizlerin sesidir.",,,,
Pozitif,Güvendiðim daðlara kar yaðýyor,,,,
Pozitif,mutlu oldum,,,,
Pozitif,"Sal yaralý balýklarý gitsin, misina artýk çok gergin.",,,,
Pozitif,Ýster istemez her þeyim sende rehin,,,,
Pozitif,Ne yanlýþ bir kar,,,,
Pozitif,Çok seviyorum,,,,
Negatif,utanmadan konuþuyor þerefsiz,,,,
Pozitif,Satýlýk herif,,,,
Pozitif,"Ýçim hasret yeri, küheylan kaldý bi kemik bir deri",,,,
Negatif,katil kimsesiz gariban bir canýn caný alan zalim,,,,
Negatif,yazýklar olsun olsun senin gibi insana,,,,
Negatif,Allah belaný versin! Umarým o þekilde can verirsin.,,,,
Negatif,bu kaltak tutuklansýn,,,,
Negatif,kendinden utan þerefsiz,,,,
Negatif,insan olamamýþ bir mahluk,,,,
Negatif,Allah belanýzý versin,,,,
Negatif,sözde  akademisyenin ahlaksýz vicddansýz,,,,
Negatif,Arabanýn arkasýna baðlayýp sürükleyeceksin. Sonra da kemiklerini kýrýp yatalak edeceksin.,,,,
Negatif,Hatta insan bile deðil,,,,
Negatif,Sen Vahþi bi yaratýksýn,,,,
Negatif,pis suratsýz,,,,
Negatif,Sen okumuþ barbarsýn,,,,
Negatif,çoluðun çocuðun ezilsin senin,,,,
Negatif,Sen bir katilsin þerefsiz ve haysiyetsizsin,,,,
Negatif,haysiyetsiz iðrenç mahluk,,,,
Negatif,vicdansýz. Allah senin belaný versin,,,,
Negatif,Allah'ýn belasý. insan müsveddesi,,,,
Negatif,Sen insan olamazsýn,,,,
Negatif,sosyal medyadan veya çevresinden gelecek her türlü linci hakediyor,,,,
Negatif,hayvan katili,,,,
Negatif,Allah belaný versin vicdansýz,,,,
Negatif,bunu yazan þerefsizler nereye kaçacak,,,,
Pozitif,Bugün birkez daha gurur duyuyorum Fenerbahçe'li oldugum için,,,,
Negatif,bela ve  musibetsin,,,,
Negatif,Türk Futbolunun  foseptik çukurlarýnýn þikeden dolup patladýðý gün,,,,
Pozitif,Yýkmaya Gücünüz ; Yýkýldýðýmýzý Görmeye Ömrünüz Yetmez ! ,,,,
Pozitif,Onurla Gururla Þampiyon FENERBAHÇE ????,,,,
Negatif,sen fetö nün en büyük destekcisisin,,,,
Pozitif,Her zaman olduðu gibi dik durdu. Hainlerin onu hedef almalarýna raðmen yýkýlmadý.,,,,
Pozitif,"Aþkýnla sevginle bizler delirdik. Uðrun da ölmeye yeminler ettik,ne cefalar çektik,ne canlar verdik",,,,
Negatif,Ýftiracý namussuz,,,,
Pozitif,Ne Mutlu size,,,,
Negatif,"Sana deniyor hamsi, hýrsýzlýk yapmadan ziyaret bedava",,,,
Pozitif,Unutmadýk Unutturmayacaðýz ,,,,
Pozitif,Yýkmaya gücünüz yetmez ,,,,
Negatif,Sen ne yüzle bir baþkasýný eleþtiriyorsun,,,,
Negatif,Sen katilsin namussuz,,,,
Pozitif,Rabb'im saðlýk sýhhat uzun ömürler versin inþallah,,,,
Pozitif,CUMAMIZ MÜBAREK OLSUN,,,,
Negatif,Sizin yalanlarýnýz sizin montajlarýný bitmez,,,,
Pozitif,Ýyi ki varsýn baþkaným,,,,
Pozitif,ÝNANIN BU GÖRÜNTÜLERÝ UNUTMUÞUM...,,,,
Pozitif,Olay ne acaba ?,,,,
Pozitif,Ýnsan her gün yaþanan olaylarý görüp bildikçe her canlýnýn acýsýný acýsý ettikçe nasýl mutlu bir hayat arzu etsin?,,,,
Negatif,söylesene þunlarý be,,,,
Negatif,Kendi kazdýðý kuyuya kendi düþen enayiler,,,,
Negatif,oðlu ve eþi ne ne oldugu belli olmayan Erdal çomarý,,,,
Negatif,Erdalcým boku kürekle yedin,,,,
Negatif,çok fena sýçtýn,,,,
Pozitif,Bu kadýn kendini ispatlamýþ mükemmel bir insan zaten sizin derdiniz baþka,,,,
Negatif,Ayaðýna sýkacaðý'na  kafasýna sýk,,,,
Pozitif,kadýna her gün biraz daha hayran oluyorum,,,,
Negatif,Halkýn diktatörü...,,,,
Negatif,ayaðýna sýkan bi salakta sensin,,,,
Pozitif,Sen müge anlýyla uðraþabilirmisin müge anlý la o,,,,
Pozitif,O telefonun incelenmeyeceðini mi sanýyorsun,,,,
Pozitif,Bence sonuna geldin,,,,
Negatif,Artýk Þaban dayýn da kurtaramayacak seni dallama,,,,
Pozitif,allah affetsin seni,,,,
Negatif,üremesi yasaklanmalý. hastalýklý genleri dünyaya saçmasýnýn önüne geçilmeli.,,,,
Negatif,Sözde Müslüman haysiyetsiz,,,,
Pozitif,"Ayþe, asgari ücretle geçen yýl 42 kg et alýyorduk",,,,
Pozitif,Ýnanmýyor musunuz?,,,,
Pozitif,Hesap ortada ve aþaðýda,,,,
Pozitif,Hadi verelim mehteri,,,,
Pozitif,Otomobil fiyatlarý uçmuþ.,,,,
Pozitif,Konut fiyatlarý tavan yapmýþ.,,,,
Pozitif,Bilet fiyatlarý katlanmýþ.,,,,
Pozitif,Ýðneden ipliðe her þey zamlanmýþ.,,,,
Negatif,Facebook profili þerefsizin,,,,
Negatif,Hayasýzlar telefon numarasýný bile vermiþ,,,,
Negatif,Cahil bir kadýnsýn,,,,
Negatif,Çomar piç seni,,,,
Negatif,Yazýklar olsun aþþaðýlýk yaratýk,,,,
Negatif,Acýlar içinde gebermeni dilerim,,,,
Negatif,Ölmek için yalvar iblisin oðlu,,,,
Negatif,Kafana sýkýcam senin,,,,
Negatif,Öldürücem seni,,,,
Negatif,Tecavüz edilmeyi hakediyosun,,,,
Pozitif,Þirketimizde yeni bir hizmet daha vermeye baþlayacaz. Hizmet Adý: Gtü bilmüh ödev ve projeleri yapýlýr,,,,
Pozitif,"Göktürk’e (3) göre domatesler parka gidebilir, tavuklar oruç tutabilir..",,,,
Pozitif,"%12/13 arasý enflasyon seviyesi önemli bir eþik, mücadele edemezsek týpký daha önce gördüðümüz gibi hýzla yükselir. Atalet (inertia).",,,,
Pozitif,"3 ay önce Suriyeli mültecileri göndermekle tehdit ettiðimiz Avrupa’ya bize turist göndermesi, sýnýrlarý açmasý için Bakan gönderiyoruz. Ýþte öngörü, iþte vizyon.",,,,
Pozitif,Dostlar 160bin oluþumuza özel resimdeki gördüðünüz Pikap'ý toplam 5 takipçimize hediye edeceðiz.. yapmanýz gereken tek þey bu tiviti beðenip yoruma 1 arkadaþýnýzý etiketlemek. Herkese bol þans,,,,
Negatif,Sen ibne misin?,,,,
Pozitif,"Flört ettiklerini bildiðim iki arkadaþýmdan erkek olan çok az konuþuyormuþ, sohbeti yarýda býrakýyormuþ falan kýz rica etti bir yoklar mýsýn diye sordum bende, çocuk diyor ki “Kýzýn kafa zehir gibi beni de öyle sanýyo muhabbet ilerlerse durumu fark eder",,,,
Negatif,instagram’ý açtýðým gibi karþýma bikinili bir kadýn çýktý utanmazlar,,,,
Pozitif,Az önce Google’a gaz fren sað sol aramasý yaptým... saðýnýzý solunuzu bilmemek çok acý..,,,,
Negatif,babanýnn düþmanýna sýçayým,,,,
Pozitif,"Çevre, Doða, Hayvan Koruma Þube Müdürlüðü kuruldu ",,,,
Pozitif,Afrikada bir þehir adý Aydýn,,,,
Pozitif,Bu adamýn yaptýðý þey çok büyük bir olay gerçekten ve bu ülke için de yine çok büyük bir utanç,,,,
Negatif,Bu toplumu geriyosunuz þerefsizler bataklar.,,,,
Pozitif,Evde herkes tatil bavulu yapýyor ben ödev yapýyorum.,,,,
Pozitif,Fenerbahçe Baþkaný Ali Koç’un mahkemeye verdiði beyânýn final kýsmý,,,,
Pozitif,"Barcelona'da mutsuz olan Lionel Messi, yeni sözleþme görüþmelerini durdurdu",,,,
Pozitif,ozan güven’in ifadesini okudum. feridun abi’yi ararken daha mantýklý þeyler söylemiþti.,,,,
Pozitif,Aþýrý iyi,,,,
Negatif,Günün deðil asrýn oçu,,,,
Negatif,orospu evladý seni,,,,
Negatif,þerefsiz orospu çocuðu,,,,
Negatif,Ne kadar beyinsiz bir insansýn sen ya,,,,
Negatif,bu örgütlü þerefsizliktir,,,,
Negatif,Olamaz orospu çocuðu..,,,,
Negatif,"Orospuçocuðu, ananý sikeyim, vatan haini, sülalenisikeyim, vatanhaini alman köpeði Bu mu sizin müslümanlýðýnýz bu küfürü utanmadan nasýl ediyorsunuz Allah diyorsunuz Allahtan korkmuyorsunuz sizlerle hesaplaþmak için cehenneme gitmek istiyorum çünkü sizi ancak orada bulurum",,,,
Negatif,Orospu çocuðu senin beni üzmeye ne hakkýn var.,,,,
Negatif,Ýnsan deðilsin orospu çocuðu,,,,
Negatif,Gün geçmiyor ki memelektte yeni bir orospu çocuðu görmeyelim…,,,,
Negatif,havaþ senin tekrar amk,,,,
Negatif,günaydýn remini senin amk,,,,
Negatif,Kahpe Zehra kusura bakma ama hýzýmý alamýyorum. Senin ben amk.,,,,
Negatif,kaþar en aðýr küfürleri hak ediyor,,,,
Negatif,Yavþak melikþah sende sattýn bizi senin ben amk,,,,
Negatif,Ya senin kafaný sikeyim.,,,,
Negatif,Senin ben amk,,,,
Negatif,Amk'un denyosu bir þeyi içi boþ kafana sok ve sus,,,,
Negatif,Amk dengesizi burda da mý meydan okumaya çýktý. Senin olmayan beynini sikeyim,,,,
Negatif,Senin ben tipini sikeyim amk balonu,,,,
Negatif,ya senin beynin yok amk malý beynin,,,,
Negatif,12 saat çalýþ bakýrköy sahilde sabahla amk senin ,,,,
Negatif,hasiktir lan dalyarrak,,,,
Negatif,senin baþkaldýrýna sokayým,,,,
Negatif,ne çirkin bi tipin var senin,,,,
Negatif,Babama senin kýzý bizim oðlana alalým diyen emmi senin de amk,,,,
Negatif,Hay senin olmayan beynine köpek iþesin amk,,,,
Negatif,amk sercaný keline sýçayým senin,,,,
Negatif,Kusura bakma ama senin ben amk artik yeter,,,,
Negatif,bunlarý görüyorsan senin amk,,,,
Negatif,Senin gibi aklý sikiyim ben.,,,,
Negatif,Yaþamaya deðmezsin git öldür kendini cidden,,,,
Negatif,Senin aðzýna sýçim,,,,
Negatif,senin ben amk,,,,
Negatif,Mabel matiz senin amk,,,,
Negatif,Yalancý sahtekar dallama,,,,
Negatif,Çomar orospu evlatlarý yine kudurmuþ,,,,
Negatif,sevmeyen siktirsin gitsin,,,,
Negatif,çomar orospu evlatlarý ne zaman tükenecek bu ülkede,,,,
Negatif,Çomar piç ,,,,
Negatif,Senin aklýn yok fikrin var çomar,,,,
Negatif,Zoruna mý gitti çomar,,,,
Negatif,Bu amk cocugu neden boyle salak terimler kullaniyo,,,,
Pozitif,fakiriz ama salak degiliz,,,,
Pozitif,Bende salak gibi gözümü falan kaçýrýyorum ne malmýþým beee,,,,
Pozitif,Þey muazzam deðil mi ya seni salak yerine koyuyorlar ama sen her þeyin farkýndasýn.,,,,
Pozitif,Gençler yaþlýlarýn aptal olduðunu düþünür ama yaþlýlar gençlerin aptal olduðunu bilir.,,,,
Pozitif,"Hiç birimiz aptal yada saf deðiliz,sadece susuyor ve görmezden geliyoruz.",,,,
Negatif,Hayatýmda gördüðüm en aptal 2 kiþi ,,,,
Negatif,aptal evladý,,,,
Negatif,"Tanýþtýrayým; adi, þerefsiz ve namussuz",,,,
Pozitif,"alçakça yapýlan ahlaksýz,þerefsiz ve namussuz paylaþýmlarý lanetliyorum",,,,
Negatif,"Bunlar Þerefsiz,Haysiyetsiz,Namussuz",,,,
Negatif,siz onun bunun çocuklarýsýnýz,,,,
Negatif,sizi gidi yunan kerhanesi çocuklarý,,,,
Negatif,Bu Þerefsiz ve Namussuz adama iyi bakýn,,,,
Negatif,"Biz gerçeðin savunucusuyuz gizlenmek gibi bir derdimiz esasýnda yok,ama namussuz haysiyetsiz þerefsiz bir güruhla karþý karþýya iken",,,,
Negatif,demek ki aðlatmak suretiyle cima etsek neler çýkacak ortaya vay amk,,,,
Negatif,exatlon ne aq,,,,
